Name,Population,Yearly_Change,Net_Change,Density,Land_Area,Median_Age,Urban_Pop
India,"1,476,625,576",0.87%,"12,760,051",497,"2,973,190",29.2,37.6%
China,"1,412,914,089",−0.22%,"−3,182,005",150,"9,388,211",40.6,68.7%
United States,"349,035,494",0.51%,"1,759,687",38,"9,147,420",38.7,83.1%
Indonesia,"287,886,782",0.76%,"2,165,546",159,"1,811,570",30.7,60.3%
Pakistan,"259,299,791",1.6%,"4,080,237",336,"770,880",20.8,34.7%
Nigeria,"242,431,832",2.06%,"4,904,050",266,"910,770",18.3,55.8%
Brazil,"213,562,666",0.35%,"750,261",26,"8,358,140",35.3,91.7%
Bangladesh,"177,818,044",1.21%,"2,131,145","1,366","130,170",26.3,43.2%
Russia,"143,394,458",−0.42%,"−602,935",9,"16,376,870",40.7,75.4%
Ethiopia,"138,902,185",2.53%,"3,430,134",139,"1,000,000",19.3,22.9%
Mexico,"132,997,658",0.8%,"1,050,758",68,"1,943,950",30,88.3%
Japan,"122,427,731",−0.55%,"−675,748",336,"364,555",50.2,93.4%
Egypt,"120,101,175",1.47%,"1,735,180",121,"995,450",24.7,41.1%
Philippines,"117,724,471",0.8%,"937,509",395,"298,170",26.6,49.9%
DR Congo,"116,452,162",3.21%,"3,619,689",51,"2,267,050",15.9,45.4%
Vietnam,"102,177,431",0.57%,"578,904",330,"310,070",33.9,42.2%
Iran,"93,168,497",0.81%,"750,816",57,"1,628,550",34.5,73.5%
Turkey,"87,926,082",0.27%,"240,656",114,"769,630",33.9,77.5%
Germany,"83,644,258",−0.51%,"−430,817",240,"348,560",45.7,77%
Tanzania,"72,563,780",2.86%,"2,017,915",82,"885,800",17.6,40.8%
Thailand,"71,559,614",−0.08%,"−60,249",140,"510,890",41,54.3%
United Kingdom,"69,931,528",0.55%,"380,196",289,"241,930",40.2,84.7%
France,"66,746,401",0.14%,"95,597",122,"547,557",42.5,83%
South Africa,"65,453,084",1.09%,"705,765",54,"1,213,090",28.9,66.9%
Italy,"58,926,166",−0.37%,"−220,094",200,"294,140",48.6,72.4%
Kenya,"58,636,412",1.92%,"1,103,919",103,"569,140",20.3,32.6%
Myanmar,"55,184,819",0.61%,"334,171",84,"653,290",30.4,34.6%
Colombia,"53,936,226",0.96%,"510,591",49,"1,109,500",33,80.5%
Sudan,"53,282,719",3.14%,"1,620,572",30,"1,765,048",18.8,35.4%
Uganda,"52,761,469",2.68%,"1,376,575",264,"199,810",17.1,30.8%
South Korea,"51,600,388",−0.13%,"−66,641",531,"97,230",46.2,82.8%
Algeria,"48,028,334",1.25%,"593,022",20,"2,381,740",28.8,74.8%
Iraq,"48,007,437",2.1%,"986,663",111,"434,320",21.1,73%
Spain,"47,850,793",−0.08%,"−39,165",96,"498,800",46.3,79.6%
Argentina,"46,003,734",0.33%,"152,356",17,"2,736,690",33.3,96.5%
Afghanistan,"45,047,069",2.74%,"1,202,958",69,"652,860",17.4,26.9%
Yemen,"42,961,653",2.84%,"1,187,775",81,"527,970",18.5,33.3%
Canada,"40,467,728",0.85%,"341,005",4,"9,093,510",40.8,80.2%
Angola,"40,215,179",3.01%,"1,175,140",32,"1,246,700",16.7,69.4%
Ukraine,"39,535,849",1.43%,"555,473",68,"579,320",41.8,75.5%
Morocco,"38,762,441",0.86%,"331,671",87,"446,300",30.1,67.9%
Poland,"37,843,188",−0.78%,"−297,722",124,"306,230",43,59.7%
Uzbekistan,"37,724,223",1.81%,"670,795",89,"425,400",27,47.9%
Mozambique,"36,639,851",2.83%,"1,008,198",47,"786,380",16.6,42.1%
Malaysia,"36,385,115",1.13%,"407,277",111,"328,550",31.4,77.8%
Ghana,"35,697,557",1.81%,"633,285",157,"227,540",21.6,59.2%
Saudi Arabia,"35,165,787",1.73%,"599,459",16,"2,149,690",29.7,91.9%
Peru,"34,922,148",1%,"345,483",27,"1,280,000",30.6,80.9%
